Group,Item,Comp,ObjectPr,SCPr,Bias,Sentence,word1,word2,word3,word4,wait1,wait2,wait3,wait4,Notes
A,33,That,0.94,0.03,Object,The photographer accepted that the fire could not have been prevented. *****,pohort,bywoy,,,2000,2000,50,50,These are adapted from Trueswell & Kim (1998)
B,33,Null,0.94,0.03,Object,The photographer accepted the fire could not have been prevented. *****,pohort,bywoy,,,2000,2000,50,50,
B,34,That,0.44,0.09,Object,The lawyer advised that the contract would need some changes. *****,slian,furch,ephos,,2000,2000,2000,50,
A,34,Null,0.44,0.09,Object,The lawyer advised the contract would need some changes. *****,slian,furch,ephos,,2000,2000,2000,50,
A,35,That,0.8,0.07,Object,The editor advocated that the town needed to be cleaned up. *****,linurs,squing,furmur,dalsam,2000,2000,2000,2000,
B,35,Null,0.8,0.07,Object,The editor advocated the town needed to be cleaned up. *****,linurs,squing,furmur,dalsam,2000,2000,2000,2000,
B,36,That,0.25,0.58,SC,The priest asserted that the morning would be the best time for the prayer. *****,gerove,asount,,,2000,2000,50,50,
A,36,Null,0.25,0.58,SC,The priest asserted the morning would be the best time for the prayer. *****,gerove,asount,,,2000,2000,50,50,
A,37,That,0.58,0.36,Object,The director confirmed that the money should have been managed better. *****,nabre,tersia,raimy,,2000,2000,2000,50,
B,37,Null,0.58,0.36,Object,The director confirmed the money should have been managed better. *****,nabre,tersia,raimy,,2000,2000,2000,50,
B,38,That,0.46,0.4,Object,The diver discovered that the headache was caused by lack of oxygen. *****,clyke,atcher,jabels,irvest,2000,2000,2000,2000,
A,38,Null,0.46,0.4,Object,The diver discovered the headache was caused by lack of oxygen. *****,clyke,atcher,jabels,irvest,2000,2000,2000,2000,
A,39,That,0.42,0.16,Object,The campers forgot that the mountains could be very cold at night. *****,guled,arthem,,,2000,2000,50,50,
B,39,Null,0.42,0.16,Object,The campers forgot the mountains could be very cold at night. *****,guled,arthem,,,2000,2000,50,50,
B,40,That,0.32,0.39,SC,The detective learned that the witness was planning to leave town. *****,bloosh,phouse,mescat,,2000,2000,2000,50,Taken from (9) due to an error with (8)
A,40,Null,0.32,0.39,SC,The detective learned the witness was planning to leave town. *****,bloosh,phouse,mescat,,2000,2000,2000,50,Taken from (9) due to an error with (8)
A,41,That,0.71,0.26,Object,The engineer maintained that the debate would be easy to win. *****,edich,puffaw,edcept,incirs,2000,2000,2000,2000,
B,41,Null,0.71,0.26,Object,The engineer maintained the debate would be easy to win. *****,edich,puffaw,edcept,incirs,2000,2000,2000,2000,
B,42,That,0.94,0,Object,The editor printed that the media had been irresponsible and cruel. *****,clifle,clucco,,,2000,2000,50,50,
A,42,Null,0.94,0,Object,The editor printed the media had been irresponsible and cruel. *****,clifle,clucco,,,2000,2000,50,50,
A,43,That,0.62,0.11,Object,The technician proposed that the water might be contaminated. *****,shobia,snoofy,ginews,,2000,2000,2000,50,
B,43,Null,0.62,0.11,Object,The technician proposed the water might be contaminated. *****,shobia,snoofy,ginews,,2000,2000,2000,50,
B,44,That,0.5,0.12,Object,The nurses protested that the patients were not being treated well. *****,hodes,pluent,metoed,lummar,2000,2000,2000,2000,
A,44,Null,0.5,0.12,Object,The nurses protested the patients were not being treated well. *****,hodes,pluent,metoed,lummar,2000,2000,2000,2000,
A,45,That,0.83,0.04,Object,The teacher repeated that the class should be finished by Friday. *****,spince,inmoft,,,2000,2000,50,50,
